0.01,300,0.1,57.7
0.01,300,0.2,60.8
0.01,300,0.3,59
0.01,300,0.4,63.6
0.01,300,0.5,69.4
0.01,300,0.6,77.1
0.01,300,0.7,84.7
0.01,300,0.8,97.9
0.01,300,0.9,96.9
0.01,328.3950617,0.1,59.3
0.01,328.3950617,0.2,57.7
0.01,328.3950617,0.3,60.9
0.01,328.3950617,0.4,63.4
0.01,328.3950617,0.5,71.9
0.01,328.3950617,0.6,79.1
0.01,328.3950617,0.7,94.1
0.01,328.3950617,0.8,99.5
0.01,328.3950617,0.9,98.6
0.01,356.7901235,0.1,58.8
0.01,356.7901235,0.2,57
0.01,356.7901235,0.3,60.3
0.01,356.7901235,0.4,66.3
0.01,356.7901235,0.5,73.1
0.01,356.7901235,0.6,86
0.01,356.7901235,0.7,99.2
0.01,356.7901235,0.8,99.7
0.01,356.7901235,0.9,99.5
0.01,385.1851852,0.1,59.6
0.01,385.1851852,0.2,60.9
0.01,385.1851852,0.3,61.7
0.01,385.1851852,0.4,69.7
0.01,385.1851852,0.5,74.5
0.01,385.1851852,0.6,93
0.01,385.1851852,0.7,99.6
0.01,385.1851852,0.8,100
0.01,385.1851852,0.9,99.9
0.01,413.5802469,0.1,57.9
0.01,413.5802469,0.2,59.6
0.01,413.5802469,0.3,64.1
0.01,413.5802469,0.4,69.8
0.01,413.5802469,0.5,76
0.01,413.5802469,0.6,96.7
0.01,413.5802469,0.7,100
0.01,413.5802469,0.8,100
0.01,413.5802469,0.9,100
0.01,441.9753086,0.1,58.1
0.01,441.9753086,0.2,58.9
0.01,441.9753086,0.3,61.5
0.01,441.9753086,0.4,70.7
0.01,441.9753086,0.5,83
0.01,441.9753086,0.6,98.3
0.01,441.9753086,0.7,100
0.01,441.9753086,0.8,100
0.01,441.9753086,0.9,100
0.01,470.3703704,0.1,59.1
0.01,470.3703704,0.2,58.8
0.01,470.3703704,0.3,63.8
0.01,470.3703704,0.4,69.6
0.01,470.3703704,0.5,89.1
0.01,470.3703704,0.6,99
0.01,470.3703704,0.7,99.9
0.01,470.3703704,0.8,100
0.01,470.3703704,0.9,100
0.01,498.7654321,0.1,58
0.01,498.7654321,0.2,60.7
0.01,498.7654321,0.3,63.4
0.01,498.7654321,0.4,68.9
0.01,498.7654321,0.5,93.9
0.01,498.7654321,0.6,99.8
0.01,498.7654321,0.7,100
0.01,498.7654321,0.8,100
0.01,498.7654321,0.9,100
0.01,527.1604938,0.1,58.9
0.01,527.1604938,0.2,58.2
0.01,527.1604938,0.3,62.4
0.01,527.1604938,0.4,72
0.01,527.1604938,0.5,94.9
0.01,527.1604938,0.6,99.7
0.01,527.1604938,0.7,100
0.01,527.1604938,0.8,100
0.01,527.1604938,0.9,100
0.01,555.5555556,0.1,59
0.01,555.5555556,0.2,59.4
0.01,555.5555556,0.3,63.6
0.01,555.5555556,0.4,75.9
0.01,555.5555556,0.5,96.9
0.01,555.5555556,0.6,100
0.01,555.5555556,0.7,100
0.01,555.5555556,0.8,100
0.01,555.5555556,0.9,100
0.12,300,0.1,57.4
0.12,300,0.2,56.2
0.12,300,0.3,55.2
0.12,300,0.4,53.3
0.12,300,0.5,52.6
0.12,300,0.6,55.8
0.12,300,0.7,54.5
0.12,300,0.8,59.4
0.12,300,0.9,61.2
0.12,328.3950617,0.1,57.7
0.12,328.3950617,0.2,56.2
0.12,328.3950617,0.3,54.8
0.12,328.3950617,0.4,54.9
0.12,328.3950617,0.5,53.5
0.12,328.3950617,0.6,54.1
0.12,328.3950617,0.7,57.4
0.12,328.3950617,0.8,61.7
0.12,328.3950617,0.9,63.3
0.12,356.7901235,0.1,58.7
0.12,356.7901235,0.2,56.4
0.12,356.7901235,0.3,55.8
0.12,356.7901235,0.4,55.4
0.12,356.7901235,0.5,54.6
0.12,356.7901235,0.6,54.8
0.12,356.7901235,0.7,60.5
0.12,356.7901235,0.8,62.4
0.12,356.7901235,0.9,67.3
0.12,385.1851852,0.1,58.1
0.12,385.1851852,0.2,56
0.12,385.1851852,0.3,54.2
0.12,385.1851852,0.4,54.8
0.12,385.1851852,0.5,54.6
0.12,385.1851852,0.6,57.3
0.12,385.1851852,0.7,60.7
0.12,385.1851852,0.8,64
0.12,385.1851852,0.9,69.2
0.12,413.5802469,0.1,57.8
0.12,413.5802469,0.2,56.4
0.12,413.5802469,0.3,55.3
0.12,413.5802469,0.4,55.3
0.12,413.5802469,0.5,55.1
0.12,413.5802469,0.6,60.1
0.12,413.5802469,0.7,63
0.12,413.5802469,0.8,67.2
0.12,413.5802469,0.9,74
0.12,441.9753086,0.1,57.2
0.12,441.9753086,0.2,55.8
0.12,441.9753086,0.3,54.1
0.12,441.9753086,0.4,54.8
0.12,441.9753086,0.5,56.3
0.12,441.9753086,0.6,59.9
0.12,441.9753086,0.7,62.3
0.12,441.9753086,0.8,68.6
0.12,441.9753086,0.9,76.2
0.12,470.3703704,0.1,58.2
0.12,470.3703704,0.2,56.6
0.12,470.3703704,0.3,55.4
0.12,470.3703704,0.4,55
0.12,470.3703704,0.5,57.7
0.12,470.3703704,0.6,62.7
0.12,470.3703704,0.7,65
0.12,470.3703704,0.8,70.4
0.12,470.3703704,0.9,76.3
0.12,498.7654321,0.1,57.8
0.12,498.7654321,0.2,56.5
0.12,498.7654321,0.3,55.1
0.12,498.7654321,0.4,55.4
0.12,498.7654321,0.5,57.4
0.12,498.7654321,0.6,62.2
0.12,498.7654321,0.7,66.4
0.12,498.7654321,0.8,74.8
0.12,498.7654321,0.9,79.8
0.12,527.1604938,0.1,58.7
0.12,527.1604938,0.2,56.6
0.12,527.1604938,0.3,55.3
0.12,527.1604938,0.4,56.1
0.12,527.1604938,0.5,58.3
0.12,527.1604938,0.6,61.9
0.12,527.1604938,0.7,69.4
0.12,527.1604938,0.8,74.2
0.12,527.1604938,0.9,81
0.12,555.5555556,0.1,57.9
0.12,555.5555556,0.2,56
0.12,555.5555556,0.3,56.3
0.12,555.5555556,0.4,56.4
0.12,555.5555556,0.5,59
0.12,555.5555556,0.6,63.6
0.12,555.5555556,0.7,71.5
0.12,555.5555556,0.8,76.9
0.12,555.5555556,0.9,81.8
0.23,300,0.1,57.2
0.23,300,0.2,55
0.23,300,0.3,54.4
0.23,300,0.4,53.9
0.23,300,0.5,53.5
0.23,300,0.6,53.3
0.23,300,0.7,52.9
0.23,300,0.8,56.1
0.23,300,0.9,57
0.23,328.3950617,0.1,57.5
0.23,328.3950617,0.2,55.1
0.23,328.3950617,0.3,54
0.23,328.3950617,0.4,53.8
0.23,328.3950617,0.5,53.9
0.23,328.3950617,0.6,54.6
0.23,328.3950617,0.7,55
0.23,328.3950617,0.8,57.2
0.23,328.3950617,0.9,58.5
0.23,356.7901235,0.1,57.4
0.23,356.7901235,0.2,56.1
0.23,356.7901235,0.3,55.1
0.23,356.7901235,0.4,54.5
0.23,356.7901235,0.5,53.8
0.23,356.7901235,0.6,55.1
0.23,356.7901235,0.7,56.1
0.23,356.7901235,0.8,58.5
0.23,356.7901235,0.9,59.9
0.23,385.1851852,0.1,58.4
0.23,385.1851852,0.2,56
0.23,385.1851852,0.3,54.1
0.23,385.1851852,0.4,54
0.23,385.1851852,0.5,54.6
0.23,385.1851852,0.6,56
0.23,385.1851852,0.7,57.4
0.23,385.1851852,0.8,59.3
0.23,385.1851852,0.9,61.5
0.23,413.5802469,0.1,57.6
0.23,413.5802469,0.2,55.6
0.23,413.5802469,0.3,54.8
0.23,413.5802469,0.4,54.9
0.23,413.5802469,0.5,53.8
0.23,413.5802469,0.6,55.5
0.23,413.5802469,0.7,58
0.23,413.5802469,0.8,59.1
0.23,413.5802469,0.9,63.1
0.23,441.9753086,0.1,57.4
0.23,441.9753086,0.2,56
0.23,441.9753086,0.3,55.2
0.23,441.9753086,0.4,54.1
0.23,441.9753086,0.5,54.8
0.23,441.9753086,0.6,57
0.23,441.9753086,0.7,57.9
0.23,441.9753086,0.8,61.9
0.23,441.9753086,0.9,63.4
0.23,470.3703704,0.1,57.5
0.23,470.3703704,0.2,55.8
0.23,470.3703704,0.3,55
0.23,470.3703704,0.4,54.5
0.23,470.3703704,0.5,54.9
0.23,470.3703704,0.6,56.9
0.23,470.3703704,0.7,58.4
0.23,470.3703704,0.8,63
0.23,470.3703704,0.9,66.8
0.23,498.7654321,0.1,57.6
0.23,498.7654321,0.2,55.9
0.23,498.7654321,0.3,54.4
0.23,498.7654321,0.4,54.4
0.23,498.7654321,0.5,55.3
0.23,498.7654321,0.6,56.8
0.23,498.7654321,0.7,60.6
0.23,498.7654321,0.8,64.3
0.23,498.7654321,0.9,66.6
0.23,527.1604938,0.1,57.8
0.23,527.1604938,0.2,55.8
0.23,527.1604938,0.3,55.3
0.23,527.1604938,0.4,54.4
0.23,527.1604938,0.5,56.6
0.23,527.1604938,0.6,59.5
0.23,527.1604938,0.7,61.5
0.23,527.1604938,0.8,64.9
0.23,527.1604938,0.9,67.9
0.23,555.5555556,0.1,57.5
0.23,555.5555556,0.2,55.8
0.23,555.5555556,0.3,54.9
0.23,555.5555556,0.4,54.4
0.23,555.5555556,0.5,56.2
0.23,555.5555556,0.6,58
0.23,555.5555556,0.7,62
0.23,555.5555556,0.8,65.6
0.23,555.5555556,0.9,67.2
0.34,300,0.1,57.8
0.34,300,0.2,55.9
0.34,300,0.3,54
0.34,300,0.4,54.3
0.34,300,0.5,53.5
0.34,300,0.6,52.9
0.34,300,0.7,54.9
0.34,300,0.8,53.7
0.34,300,0.9,55.8
0.34,328.3950617,0.1,57.4
0.34,328.3950617,0.2,56.1
0.34,328.3950617,0.3,54.7
0.34,328.3950617,0.4,53.8
0.34,328.3950617,0.5,53.6
0.34,328.3950617,0.6,53.5
0.34,328.3950617,0.7,54.2
0.34,328.3950617,0.8,55.3
0.34,328.3950617,0.9,56.7
0.34,356.7901235,0.1,57.7
0.34,356.7901235,0.2,55.6
0.34,356.7901235,0.3,53.9
0.34,356.7901235,0.4,54.3
0.34,356.7901235,0.5,53.2
0.34,356.7901235,0.6,54.3
0.34,356.7901235,0.7,54.8
0.34,356.7901235,0.8,53.9
0.34,356.7901235,0.9,55.8
0.34,385.1851852,0.1,57.4
0.34,385.1851852,0.2,55.5
0.34,385.1851852,0.3,53.8
0.34,385.1851852,0.4,53.8
0.34,385.1851852,0.5,53.4
0.34,385.1851852,0.6,53.8
0.34,385.1851852,0.7,55
0.34,385.1851852,0.8,56.2
0.34,385.1851852,0.9,59.8
0.34,413.5802469,0.1,58.4
0.34,413.5802469,0.2,55.9
0.34,413.5802469,0.3,54.6
0.34,413.5802469,0.4,54.2
0.34,413.5802469,0.5,54.3
0.34,413.5802469,0.6,54.9
0.34,413.5802469,0.7,55.5
0.34,413.5802469,0.8,56.8
0.34,413.5802469,0.9,59.5
0.34,441.9753086,0.1,57.6
0.34,441.9753086,0.2,55.8
0.34,441.9753086,0.3,54
0.34,441.9753086,0.4,54.7
0.34,441.9753086,0.5,54.2
0.34,441.9753086,0.6,55.6
0.34,441.9753086,0.7,57.4
0.34,441.9753086,0.8,58.1
0.34,441.9753086,0.9,58.7
0.34,470.3703704,0.1,58.2
0.34,470.3703704,0.2,56.4
0.34,470.3703704,0.3,54.6
0.34,470.3703704,0.4,53.9
0.34,470.3703704,0.5,54.6
0.34,470.3703704,0.6,55.2
0.34,470.3703704,0.7,57.3
0.34,470.3703704,0.8,59
0.34,470.3703704,0.9,61.5
0.34,498.7654321,0.1,57.4
0.34,498.7654321,0.2,55.8
0.34,498.7654321,0.3,54.5
0.34,498.7654321,0.4,53.6
0.34,498.7654321,0.5,55
0.34,498.7654321,0.6,56.2
0.34,498.7654321,0.7,57.1
0.34,498.7654321,0.8,60.4
0.34,498.7654321,0.9,61.2
0.34,527.1604938,0.1,58.2
0.34,527.1604938,0.2,55.3
0.34,527.1604938,0.3,55
0.34,527.1604938,0.4,54.7
0.34,527.1604938,0.5,55.2
0.34,527.1604938,0.6,55.5
0.34,527.1604938,0.7,58.9
0.34,527.1604938,0.8,60.8
0.34,527.1604938,0.9,62.4
0.34,555.5555556,0.1,58
0.34,555.5555556,0.2,55.3
0.34,555.5555556,0.3,55
0.34,555.5555556,0.4,54.4
0.34,555.5555556,0.5,54.4
0.34,555.5555556,0.6,56.7
0.34,555.5555556,0.7,59.3
0.34,555.5555556,0.8,61.2
0.34,555.5555556,0.9,63
0.45,300,0.1,58.6
0.45,300,0.2,55.1
0.45,300,0.3,53.9
0.45,300,0.4,54
0.45,300,0.5,52.9
0.45,300,0.6,52.5
0.45,300,0.7,51.6
0.45,300,0.8,53.4
0.45,300,0.9,53.6
0.45,328.3950617,0.1,58
0.45,328.3950617,0.2,56.3
0.45,328.3950617,0.3,54.4
0.45,328.3950617,0.4,54.1
0.45,328.3950617,0.5,54
0.45,328.3950617,0.6,53.4
0.45,328.3950617,0.7,53.4
0.45,328.3950617,0.8,54
0.45,328.3950617,0.9,53.3
0.45,356.7901235,0.1,58
0.45,356.7901235,0.2,55.5
0.45,356.7901235,0.3,53.9
0.45,356.7901235,0.4,53.9
0.45,356.7901235,0.5,52.3
0.45,356.7901235,0.6,52.7
0.45,356.7901235,0.7,53.2
0.45,356.7901235,0.8,55.3
0.45,356.7901235,0.9,56
0.45,385.1851852,0.1,57.8
0.45,385.1851852,0.2,54.9
0.45,385.1851852,0.3,54
0.45,385.1851852,0.4,53.6
0.45,385.1851852,0.5,53.1
0.45,385.1851852,0.6,53.7
0.45,385.1851852,0.7,54.1
0.45,385.1851852,0.8,55.3
0.45,385.1851852,0.9,55.9
0.45,413.5802469,0.1,57.8
0.45,413.5802469,0.2,55.9
0.45,413.5802469,0.3,55
0.45,413.5802469,0.4,53.9
0.45,413.5802469,0.5,52.4
0.45,413.5802469,0.6,53.3
0.45,413.5802469,0.7,54.3
0.45,413.5802469,0.8,55.3
0.45,413.5802469,0.9,56.9
0.45,441.9753086,0.1,57.5
0.45,441.9753086,0.2,55.5
0.45,441.9753086,0.3,54.7
0.45,441.9753086,0.4,53.5
0.45,441.9753086,0.5,53.7
0.45,441.9753086,0.6,54
0.45,441.9753086,0.7,54.2
0.45,441.9753086,0.8,56.7
0.45,441.9753086,0.9,57.6
0.45,470.3703704,0.1,58
0.45,470.3703704,0.2,56
0.45,470.3703704,0.3,54.7
0.45,470.3703704,0.4,54.2
0.45,470.3703704,0.5,54
0.45,470.3703704,0.6,54.5
0.45,470.3703704,0.7,55.9
0.45,470.3703704,0.8,57.7
0.45,470.3703704,0.9,59.2
0.45,498.7654321,0.1,58.3
0.45,498.7654321,0.2,55.5
0.45,498.7654321,0.3,54.9
0.45,498.7654321,0.4,53.7
0.45,498.7654321,0.5,53.6
0.45,498.7654321,0.6,55.9
0.45,498.7654321,0.7,55.8
0.45,498.7654321,0.8,58.5
0.45,498.7654321,0.9,60
0.45,527.1604938,0.1,57.6
0.45,527.1604938,0.2,56
0.45,527.1604938,0.3,54.1
0.45,527.1604938,0.4,53.7
0.45,527.1604938,0.5,54.5
0.45,527.1604938,0.6,55.5
0.45,527.1604938,0.7,56
0.45,527.1604938,0.8,57.9
0.45,527.1604938,0.9,59.8
0.45,555.5555556,0.1,57.8
0.45,555.5555556,0.2,56.1
0.45,555.5555556,0.3,54.3
0.45,555.5555556,0.4,54
